Array size: 71594, Time taken: 0.000428 seconds
Array size: 76607, Time taken: 0.000604 seconds
Array size: 56459, Time taken: 0.000559 seconds
Array size: 17244, Time taken: 0.000437 seconds
Array size: 21663, Time taken: 0.000502 seconds
Array size: 35532, Time taken: 0.000399 seconds
Array size: 98798, Time taken: 0.000628 seconds
Array size: 96330, Time taken: 0.000524 seconds
Array size: 25333, Time taken: 0.000543 seconds
Array size: 12017, Time taken: 0.000446 seconds
Array size: 12518, Time taken: 0.001118 seconds
Array size: 79437, Time taken: 0.001439 seconds
Array size: 65189, Time taken: 0.000653 seconds
Array size: 115861, Time taken: 0.000889 seconds
Array size: 1035455, Time taken: 0.001096 seconds
Array size: 100000000, Time taken: 0.019651 seconds
Array size: 1000000, Time taken: 0.001092 seconds
Array size: 1000000, Time taken: 0.000988 seconds
Array size: 100000, Time taken: 0.000666 seconds
Array size: 10000000, Time taken: 0.002690 seconds
Array size: 50000000, Time taken: 0.010417 seconds
Array size: 50000000, Time taken: 0.013176 seconds
