Array size: 71594, Time taken: 0.000908 seconds
Array size: 76607, Time taken: 0.000801 seconds
Array size: 56459, Time taken: 0.000834 seconds
Array size: 17244, Time taken: 0.001034 seconds
Array size: 21663, Time taken: 0.000726 seconds
Array size: 35532, Time taken: 0.000656 seconds
Array size: 98798, Time taken: 0.001009 seconds
Array size: 96330, Time taken: 0.001103 seconds
Array size: 25333, Time taken: 0.000836 seconds
Array size: 12017, Time taken: 0.000767 seconds
Array size: 12518, Time taken: 0.001881 seconds
Array size: 79437, Time taken: 0.001817 seconds
Array size: 65189, Time taken: 0.001102 seconds
Array size: 115861, Time taken: 0.001312 seconds
Array size: 1035455, Time taken: 0.001347 seconds
Array size: 100000000, Time taken: 0.001472 seconds
Array size: 1000000, Time taken: 0.001663 seconds
Array size: 1000000, Time taken: 0.001563 seconds
Array size: 100000, Time taken: 0.001051 seconds
Array size: 10000000, Time taken: 0.001549 seconds
Array size: 50000000, Time taken: 0.001774 seconds
Array size: 50000000, Time taken: 0.002046 seconds
